project_name	principal_investigator	scientific_program	product_name	status	status_date	user_program	proposal	jgi_project_id	taxonomy_id	sequencing_project_id	analysis_project_id	project_manager	portal_id	field_id	folder_name	row_tree	current_name	voucher	provenance	rownum	year_planted	treenum	dnnumber	field_comments	date	field_determination	location	description	latitude	longitude	genus	subgenus	section	series	subseries	species	subspecies	tip_label
Corymbia chlorolampra CCA5938 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455218		1456679	1455219	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corchlsequencing_3_FD"",""Corchlsequencing_3_FD"")	CCA5938	Corchlsequencing_3_FD	R341/T13	Corymbia chlorolampra	DN 7227	Mt Lesueur, WA	341	2017	13	7227		2016-09-06	Corymbia chlorolampra	Hill immediately east of Mt Lesueur car park, Lesueur National Park, Western Australia.	Mallee to 2.5 metres tall. Leaves discolorous, glossy above. Scattered clumps in edge of mesa with Eucalyptus marginata subsp. marginata and E. accedens. Corymbia calophylla nearby on gentler, lower sites. PERTH + seeds + photos	-30.165	115.200833333333	Corymbia	Corymbia	Calophyllae			chlorolampra		C_chlorolampra
Corymbia citriodora CCA2823 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456340	34329	1457240	1456341	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corcitsequencing_5_FD"",""Corcitsequencing_5_FD"")	CCA2823	Corcitsequencing_5_FD	R131/T29	Corymbia citriodora	DN 702	Springsure, Qld	131	1997	29	702		1993-12-07	Corymbia citriodora	Springsure to Rolleston road, south-east of Springsure, Queensland.	Tree 15 metres tall. Bark smooth grey over pinkish white. Leaves glossy green. No mature buds present. Growing with Eucalyptus crebra. Springsure map. AD	-24.225	148.233333333333	Corymbia	Blakella	Maculatae			citriodora		C_citriodora_1
Corymbia citriodora CCA2825 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456342	34329	1457241	1456343	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corcitsequencing_6_FD"",""Corcitsequencing_6_FD"")	CCA2825	Corcitsequencing_6_FD	R131/T31	Corymbia citriodora	DN 702	Springsure, Qld	131	1997	31	702		1993-12-07	Corymbia citriodora	Springsure to Rolleston road, south-east of Springsure, Queensland.	Tree 15 metres tall. Bark smooth grey over pinkish white. Leaves glossy green. No mature buds present. Growing with Eucalyptus crebra. Springsure map. AD	-24.225	148.233333333333	Corymbia	Blakella	Maculatae			citriodora		C_citriodora_2
Corymbia cliftoniana CCA5773 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455062		1456601	1455063	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corclisequencing_2_FD"",""Corclisequencing_2_FD"")	CCA5773	Corclisequencing_2_FD	R316/T04	Corymbia cliftoniana	DN 5851	Bungle Bungles, WA	316	2011	4	5851		2010-08-07	Corymbia cliftoniana	Track to Piccaninny Gorge, Purnalulu National Park, Western Australia.	Tree to 6 metres tall. Bark rough throughout, moderately fissured and tessellated, grey-brown. Leaves concolorous, dull, green. Scattered generally, but locally dominant, growing on stony red sand adjacent to sandstone domes. AD, PERTH Seed + photos	-17.4972222222222	128.375277777778	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	cliftoniana		C_cliftoniana
Corymbia deserticola CCA5816 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455088	368752	1456614	1455089	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Cordessequencing_5_FD"",""Cordessequencing_5_FD"")	CCA5816	Cordessequencing_5_FD	R317/T25	Corymbia deserticola subsp. deserticola	DN 5750	Mt Augustus, WA	317	2011	25	5750		2010-07-26	Corymbia deserticola subsp. deserticola	Mount Augustus summit, Western Australia.	Scraggy shrub or mallee to 2 metres tall. bark rough, flaky-tessellated. Scattered on upper slopes and summit of massive sandstone monolith in Acacia scrub. Corymbia ferriticola on steeper sites on mid-slopes and foot-slopes. AD, PERTH Seed + photos	-24.3258333333333	116.843055555556	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms		deserticola	deserticola	C_deserticola_deserticola_1
Corymbia deserticola CCA5819 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455086	368752	1456613	1455087	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Cordessequencing_6_FD"",""Cordessequencing_6_FD"")	CCA5819	Cordessequencing_6_FD	R317/T28	Corymbia deserticola subsp. deserticola	DN 5750	Mt Augustus, WA	317	2011	28	5750		2010-07-26	Corymbia deserticola subsp. deserticola	Mount Augustus summit, Western Australia.	Scraggy shrub or mallee to 2 metres tall. bark rough, flaky-tessellated. Scattered on upper slopes and summit of massive sandstone monolith in Acacia scrub. Corymbia ferriticola on steeper sites on mid-slopes and foot-slopes. AD, PERTH Seed + photos	-24.3258333333333	116.843055555556	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms		deserticola	deserticola	C_deserticola_deserticola_2
Eucalyptus NA CCA6079 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455342	3932	1456741	1455343	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_50_FD"",""EucNAsequencing_50_FD"")	CCA6079	EucNAsequencing_50_FD	R346/T18	Corymbia eremaea subsp. oligiocarpa	DN 1208	Mt Gillen, NT	346	2017	18	1208		1994-12-04	Corymbia eremaea subsp. oligocarpa	Mt Gillen near Alice Springs, Northern Territory.	Mallee 4 metres tall, with rough grey-brown tessellated bark on stems. Leaves dull, light green. Growing on rocky slope with Eucalyptus gillenii and Corymbia apparerinja. AD Photo	-23.725	133.857222222222								C_eremaea_oligiocarpa
Corymbia eremaea CCA1133 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-01-22	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455912	1711106	1457026	1455913	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Coreresequencing_2_FD"",""Coreresequencing_2_FD"")	CCA1133	Coreresequencing_2_FD	R066/T23	Corymbia eremaea subsp. oligocarpa	DN 1208	Mt Gillen, NT	66	1995	23	1208		1994-12-04	Corymbia eremaea subsp. oligocarpa	Mt Gillen near Alice Springs, Northern Territory.	Mallee 4 metres tall, with rough grey-brown tessellated bark on stems. Leaves dull, light green. Growing on rocky slope with Eucalyptus gillenii and Corymbia apparerinja. AD Photo	-23.725	133.857222222222	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	eremaea	oligocarpa	C_eremaea_oligocarpa
Corymbia ficifolia CCA5617 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454872	34325	1456506	1454873	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corficsequencing_2_FD"",""Corficsequencing_2_FD"")	CCA5617	Corficsequencing_2_FD	R310/T04	Corymbia ficifolia	DN 5523	Boulder Hill, WA	310	2011	4	5523		2010-03-24	Corymbia ficifolia	Boulder Hill, S of Manypeaks, Western Australia.	Sprawling dense 'mallee' to 2 m tall. Leaves more or less dull, light green to dark green. Old dead flowers red to orange. About 50+ clumps on south facing slope in white peaty sand between granite boulders with some Eucalyptus marginata subsp. marginata. Corymbia calophylla nearby but not mixed in stand. PERTH + seed + photos	-34.9377777777778	118.198055555556	Corymbia	Corymbia	Calophyllae			ficifolia		C_ficifolia
Corymbia haematoxylon CCA1294 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456024	34323	1457082	1456025	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corhaesequencing_3_FD"",""Corhaesequencing_3_FD"")	CCA1294	Corhaesequencing_3_FD	R072/T31	Corymbia haematoxylon	DN 1147	Busselton, WA	72	1995	31	1147		1994-11-25	Corymbia haematoxylon	East of Busselton, Western Australia.	Tree mallee 4m tall, others to 8m. Bark rough, tessellated grey over red brown. Leaves dull, green. Growing on grey sand with Eucalyptus marginata. AD Photo	-33.7161111111111	115.526111111111	Corymbia	Corymbia	Calophyllae			haematoxylon		C_haematoxylon
Eucalyptus NA CCA1609 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456252	3932	1457196	1456253	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_56_FD"",""EucNAsequencing_56_FD"")	CCA1609	EucNAsequencing_56_FD	R091/T06	Corymbia henryi	DN 1259	Helidon Hills, Qld	91	1996	6	1259		1995-04-09	Corymbia henryi	Helidon Hills, near Toowoomba, Queensland	Tree 25 metres tall. Bark smooth, spotted grey over cream. Leaves glossy, light green. Growing on hills with Eucalyptus major, E. tereticornis and E. crebra. Photo AD	-27.4461111111111	152.196944444444								C_henryi_2
Eucalyptus NA CCA1610 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456254	3932	1457197	1456255	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_59_FD"",""EucNAsequencing_59_FD"")	CCA1610	EucNAsequencing_59_FD	R091/T07	Corymbia henryi	DN 1259	Helidon Hills, Qld	91	1996	7	1259		1995-04-09	Corymbia henryi	Helidon Hills, near Toowoomba, Queensland	Tree 25 metres tall. Bark smooth, spotted grey over cream. Leaves glossy, light green. Growing on hills with Eucalyptus major, E. tereticornis and E. crebra. Photo AD	-27.4461111111111	152.196944444444								C_henryi_3
Eucalyptus NA CCA1611 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456256	3932	1457198	1456257	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_58_FD"",""EucNAsequencing_58_FD"")	CCA1611	EucNAsequencing_58_FD	R091/T08	Corymbia henryi	DN 1259	Helidon Hills, Qld	91	1996	8	1259		1995-04-09	Corymbia henryi	Helidon Hills, near Toowoomba, Queensland	Tree 25 metres tall. Bark smooth, spotted grey over cream. Leaves glossy, light green. Growing on hills with Eucalyptus major, E. tereticornis and E. crebra. Photo AD	-27.4461111111111	152.196944444444								C_henryi_4
Eucalyptus NA CCA1548 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456202	3932	1457171	1456203	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_63_FD"",""EucNAsequencing_63_FD"")	CCA1548	EucNAsequencing_63_FD	R089/T02	Corymbia leichhardii	DN 1277	Springsure, Qld	89	1996	2	1277		1995-04-11	Corymbia leichhardtii	South-west of Springsure, Queensland	Tree 10 metres tall. Bark rough, flaky, tessellated, yellowish brown. Leaves slightly glossy, green.  Growing on a gravely rise with Eucalyptus crebra. Photo AD	-24.1511111111111	147.88								C_leichhardii_1
Eucalyptus NA CCA1550 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456204	3932	1457172	1456205	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/EucNAsequencing_62_FD"",""EucNAsequencing_62_FD"")	CCA1550	EucNAsequencing_62_FD	R089/T04	Corymbia leichhardii	DN 1277	Springsure, Qld	89	1996	4	1277		1995-04-11	Corymbia leichhardtii	South-west of Springsure, Queensland	Tree 10 metres tall. Bark rough, flaky, tessellated, yellowish brown. Leaves slightly glossy, green.  Growing on a gravely rise with Eucalyptus crebra. Photo AD	-24.1511111111111	147.88								C_leichhardii_2
Corymbia lenziana CCA5848 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455128	1711115	1456634	1455129	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corlensequencing_2_FD"",""Corlensequencing_2_FD"")	CCA5848	Corlensequencing_2_FD	R319/T09	Corymbia lenziana	DN 5733	Kennedy Range, WA	319	2011	9	5733		2010-07-25	Corymbia lenziana	Southern access of Kennedy Range track, Western Australia.	Multi-stemmed tree to 8 metres tall. Bark mostly rough, tessellated, brown; some smooth white patches. leaves dull, green. First of this species seen coming from the south; scattered clumps on red sand dune. AD, PERTH Seed + photos	-24.9544444444444	114.938611111111	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	lenziana		C_lenziana
Corymbia leptoloma CCA1688 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456322	368755	1457231	1456323	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corlepsequencing_FD"",""Corlepsequencing_FD"")	CCA1688	Corlepsequencing_FD	R095/T08	Corymbia leptoloma	DN 1302	Paluma, Qld	95	1996	8	1302		1995-04-12	Corymbia leptoloma	West of Paluma towards Hidden Valley, Queensland.	Tree 15 metres tall. Bark rough, flaky, yellow-brown. Leaves discolorous, glossy, yellow-green. Growing with Eucalyptus macta, Corymbia intermedia and E. uvida. Photo AD	-19.0111111111111	146.099166666667	Corymbia	Blakella	Naviculares			leptoloma		C_leptoloma
Corymbia maculata CCA3013 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456478	87660	1457309	1456479	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Cormacsequencing_FD"",""Cormacsequencing_FD"")	CCA3013	Cormacsequencing_FD	R140/T07	Corymbia maculata	DN 1752	Narooma, NSW	140	1997	7	1752		1996-04-20	Corymbia maculata	Near Narooma, New South Wales.	Tree 18 metres tall. Bark smooth, blotched grey over cream. Leaves glossy, green. Growing on hillside in a nearly pure stand, with a few Eucalyptus botryoides. AD	-36.2816666666667	150.124722222222	Corymbia	Blakella	Maculatae			maculata		C_maculata
Corymbia papillosa CCA5646 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454918	1711118	1456529	1454919	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corpapsequencing_2_FD"",""Corpapsequencing_2_FD"")	CCA5646	Corpapsequencing_2_FD	R311/T07	Corymbia papillosa	DN 5806	Walcott Inlet, WA	311	2011	7	5806		2010-08-02	Corymbia papillosa	Munja Track (Walcott Inlet track), near Pearson Creek campsite, Kimberley, Western Australia.	Irregularly formed tree to 9 metres tall. Bark rough throughout, coarsely tessellated, grey-brown. Leaves setose, dull, green. Fruits variable in size, ovoid. In open woodland on sandy soil with Corymbia latifolia, Eucalyptus tetrodonta and C. miniata (lowland form - non-waxy, broad leaves, not in flower). AD, CANB, PERTH Seed + photos	-16.0072222222222	125.555833333333	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms		papillosa		C_papillosa
Corymbia petalophylla CCA1569 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2025-02-04	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456222	368760	1457181	1456223	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corpetsequencing_FD"",""Corpetsequencing_FD"")	CCA1569	Corpetsequencing_FD	R089/T32	Corymbia petalophylla	DN 1262	Eldsvoid, Qld	89	1996	32	1262		1995-04-09	Corymbia petalophylla	(then 500m north of road from below co-ordinates) Eidsvold to Cracow Road, Queensland	Tree 6 metres tall. Bark rough, flaky, orange-brown. Leaves slightly glossy, blue-green. Growing on a very rocky rise with Eucalyptus exserta and E. crebra. Photos AD	-25.435	150.958333333333	Corymbia	Blakella	Naviculares			petalophylla		C_petalophylla
